domain;url;product_name;match_type;price;matched_text;source
blicherfuglsang.dk;https://blicherfuglsang.dk/produkt/gratis-ringmaaler/;GRATIS Ringmåler - Blicher Fuglsang;structured_price_zero;0;Schema.org Product/Offer price=0;homepage_link
bumleshoppen.dk;https://bumleshoppen.dk/vare/gratis-gave/;Gratis Gave;visible_product_price_zero;0,00 kr.;0,00 kr.;sitemap

